"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2018","22,411.15","22,527.12","22,938.06","21,460.46","10.16B","-0.87%"
"02/01/2018","22,607.61","23,639.28","23,809.51","21,907.71","9.24B","-3.83%"
"01/01/2018","23,507.06","21,898.69","24,050.15","21,613.89","8.46B","7.57%"
"12/01/2017","21,853.34","22,396.59","22,838.32","21,833.80","7.08B","-2.30%"
"11/01/2017","22,368.29","22,909.89","23,133.42","21,932.57","9.21B","-1.87%"
"10/01/2017","22,793.69","22,714.12","22,899.36","22,021.02","8.44B","0.43%"
"09/01/2017","22,696.32","21,743.06","22,696.32","21,581.89","7.37B","4.74%"
"08/01/2017","21,670.02","21,543.10","22,065.42","21,329.21","6.62B","0.85%"
"07/01/2017","21,486.91","20,710.89","21,690.61","20,703.95","7.78B","4.39%"
"06/01/2017","20,584.23","20,781.43","21,271.49","20,537.35","9.39B","-0.71%"
"05/01/2017","20,731.68","20,697.77","21,828.77","20,572.22","11.88B","0.59%"
"04/01/2017","20,609.16","20,510.37","20,883.66","19,442.71","9.52B","0.57%"
"03/01/2017","20,492.94","19,067.87","20,495.62","19,028.49","12.67B","8.35%"
"02/01/2017","18,913.28","18,731.89","19,359.56","18,424.31","10.61B","1.73%"
"01/01/2017","18,590.73","19,207.77","19,810.77","18,523.66","13.21B","-3.35%"
"12/01/2016","19,234.58","16,904.18","19,419.01","16,723.18","18.95B","13.61%"
"11/01/2016","16,930.41","17,216.77","17,256.67","16,039.59","19.79B","-1.14%"
"10/01/2016","17,125.05","16,368.40","17,426.49","16,133.96","16.82B","4.41%"
"09/01/2016","16,401.00","16,989.99","17,397.53","15,922.35","15.45B","-3.20%"
"08/01/2016","16,943.38","16,971.27","17,122.82","15,978.08","13.65B","0.57%"
"07/01/2016","16,846.86","16,384.72","16,996.21","15,293.10","19.86B","4.01%"
"06/01/2016","16,197.78","18,050.36","18,055.64","15,017.42","22.40B","-10.14%"
"05/01/2016","18,025.25","18,689.47","18,689.47","17,247.62","15.72B","-3.09%"
"04/01/2016","18,600.56","17,854.70","19,062.81","16,777.87","17.13B","2.67%"
"03/01/2016","18,116.88","17,557.23","19,216.53","17,533.75","18.48B","2.80%"
"02/01/2016","17,623.07","18,689.45","18,792.14","15,773.00","20.76B","-5.54%"
"01/01/2016","18,657.29","21,186.13","21,194.17","17,836.03","15.44B","-12.89%"
"12/01/2015","21,418.37","22,795.45","22,844.38","20,506.56","10.15B","-5.72%"
"11/01/2015","22,717.98","22,341.59","22,773.09","21,572.63","11.63B","1.23%"
"10/01/2015","22,442.51","21,502.67","22,874.96","21,052.48","12.72B","5.39%"
"09/01/2015","21,294.98","21,734.67","22,448.77","20,476.48","13.46B","-2.95%"
"08/01/2015","21,941.92","23,553.15","23,992.48","20,158.22","12.32B","-6.78%"
"07/01/2015","23,538.03","22,623.40","24,157.39","20,937.34","14.81B","4.80%"
"06/01/2015","22,460.71","23,582.62","23,849.64","21,855.05","15.74B","-4.40%"
"05/01/2015","23,495.68","23,082.15","23,879.84","22,296.58","13.63B","1.95%"
"04/01/2015","23,045.52","23,092.49","24,081.74","22,725.83","13.45B","-0.48%"
"03/01/2015","23,157.12","22,381.46","23,381.86","21,860.52","17.56B","3.67%"
"02/01/2015","22,337.79","20,596.35","22,338.82","20,246.54","18.03B","8.95%"
"01/01/2015","20,503.38","19,156.72","20,802.73","17,991.76","19.00B","7.84%"
"12/01/2014","19,011.96","19,858.68","20,142.18","17,729.07","14.50B","-5.01%"
"11/01/2014","20,014.82","19,760.84","20,195.00","18,444.58","15.98B","1.17%"
"10/01/2014","19,783.99","20,801.75","20,940.27","17,555.77","21.07B","-5.30%"
"09/01/2014","20,892.11","20,515.46","21,481.89","20,245.54","13.96B","2.16%"
"08/01/2014","20,450.49","20,547.94","20,777.06","18,885.58","12.23B","-0.58%"
"07/01/2014","20,570.80","21,345.44","21,896.15","20,283.38","14.08B","-3.35%"
"06/01/2014","21,283.03","21,750.27","22,590.18","21,130.22","14.02B","-1.60%"
"05/01/2014","21,629.71","21,829.47","21,945.73","19,932.81","14.77B","-0.71%"
"04/01/2014","21,783.38","21,738.96","22,210.34","20,817.49","23.77B","0.42%"
"03/01/2014","21,691.92","19,983.38","21,729.74","19,759.69","29.79B","6.11%"
"02/01/2014","20,442.41","19,411.54","20,584.47","18,788.60","15.02B","5.27%"
"01/01/2014","19,418.34","19,080.37","20,174.84","18,885.93","21.20B","2.38%"
"12/01/2013","18,967.71","19,010.73","19,054.59","17,748.63","13.70B","-0.28%"
"11/01/2013","19,021.48","19,349.21","19,482.80","18,491.77","16.47B","-1.71%"
"10/01/2013","19,351.52","17,481.03","19,501.18","17,474.96","23.31B","10.99%"
"09/01/2013","17,434.86","16,807.18","18,142.98","16,577.87","18.12B","4.51%"
"08/01/2013","16,682.21","16,563.31","17,689.88","16,503.98","14.08B","1.21%"
"07/01/2013","16,482.35","15,359.11","16,561.95","15,023.60","13.69B","8.16%"
"06/01/2013","15,239.28","17,097.41","17,289.63","14,901.46","16.56B","-11.47%"
"05/01/2013","17,214.08","16,687.37","17,644.73","16,447.72","18.73B","2.66%"
"04/01/2013","16,767.66","15,307.85","17,033.45","15,061.59","18.50B","9.32%"
"03/01/2013","15,338.72","15,858.14","16,258.50","15,197.06","17.02B","-3.66%"
"02/01/2013","15,921.25","17,411.80","17,558.21","15,466.43","19.78B","-8.70%"
"01/01/2013","17,439.06","16,583.43","17,983.63","16,573.07","29.42B","7.16%"
"12/01/2012","16,273.38","15,868.95","16,503.08","15,104.13","13.48B","2.94%"
"11/01/2012","15,808.24","15,484.51","15,939.99","14,855.79","12.99B","1.73%"
"10/01/2012","15,539.71","15,066.20","16,280.95","15,056.38","15.90B","2.94%"
"09/01/2012","15,095.84","15,068.45","16,694.79","15,021.56","18.21B","-0.03%"
"08/01/2012","15,100.48","13,848.81","15,358.98","13,204.91","15.91B","8.71%"
"07/01/2012","13,890.99","14,275.74","14,516.49","12,295.76","16.50B","-2.69%"
"06/01/2012","14,274.37","12,919.19","14,274.37","12,568.05","21.48B","10.88%"
"05/01/2012","12,873.84","14,768.61","14,820.40","12,764.68","19.64B","-11.78%"
"04/01/2012","14,592.34","15,978.34","16,014.39","13,828.63","17.21B","-8.68%"
"03/01/2012","15,980.07","16,327.33","17,158.65","15,782.36","19.94B","-2.27%"
"02/01/2012","16,351.41","15,842.99","16,848.25","15,832.45","19.39B","3.31%"
"01/01/2012","15,828.05","15,095.64","16,192.83","14,370.97","18.04B","4.89%"
"12/01/2011","15,089.74","15,276.04","16,154.96","14,430.02","15.04B","-1.17%"
"11/01/2011","15,268.66","15,616.24","16,137.98","13,609.71","21.12B","-4.68%"
"10/01/2011","16,017.73","14,476.15","17,053.41","14,058.95","19.94B","7.96%"
"09/01/2011","14,836.33","15,588.90","15,752.08","13,114.95","21.62B","-4.67%"
"08/01/2011","15,563.20","18,741.77","18,796.44","14,199.10","25.52B","-15.57%"
"07/01/2011","18,433.68","20,219.70","20,560.21","17,409.92","26.06B","-8.69%"
"06/01/2011","20,186.94","21,148.84","21,155.81","19,021.77","21.83B","-4.37%"
"05/01/2011","21,109.75","22,554.02","22,575.34","20,409.19","20.33B","-5.84%"
"04/01/2011","22,417.96","21,871.63","22,510.13","21,081.80","17.52B","3.18%"
"03/01/2011","21,727.44","22,587.88","22,717.22","20,801.78","23.99B","-3.29%"
