"Date","Price","Open","High","Low","Change %"
"10/01/2018","3.434","3.434","3.434","3.434","9.26%"
"09/01/2018","3.143","3.143","3.143","3.143","-2.96%"
"08/01/2018","3.239","3.239","3.239","3.239","18.21%"
"07/01/2018","2.740","2.740","2.740","2.740","1.93%"
"06/01/2018","2.688","2.688","2.688","2.688","-5.22%"
"05/01/2018","2.836","2.836","2.836","2.836","61.41%"
"04/01/2018","1.757","1.757","1.757","1.757","-1.68%"
"03/01/2018","1.787","1.787","1.787","1.787","-13.59%"
"02/01/2018","2.068","2.068","2.068","2.068","2.33%"
"01/01/2018","2.021","2.021","2.021","2.021","1.15%"
"12/01/2017","1.998","1.998","1.998","1.998","14.76%"
"11/01/2017","1.741","1.741","1.741","1.741","-4.60%"
"10/01/2017","1.825","1.825","1.825","1.825","-15.94%"
"09/01/2017","2.171","2.171","2.171","2.171","6.32%"
"08/01/2017","2.042","2.042","2.042","2.042","-2.34%"
"07/01/2017","2.091","2.091","2.091","2.091","-2.97%"
"06/01/2017","2.155","2.155","2.155","2.155","-2.00%"
"05/01/2017","2.199","2.199","2.199","2.199","-3.59%"
"04/01/2017","2.281","2.281","2.281","2.281","-1.34%"
"03/01/2017","2.312","2.312","2.312","2.312","10.89%"
"02/01/2017","2.085","2.085","2.085","2.085","-7.70%"
"01/01/2017","2.259","2.259","2.259","2.259","24.19%"
"12/01/2016","1.819","1.819","1.819","1.819","-8.55%"
"11/01/2016","1.989","1.989","1.989","1.989","18.68%"
"10/01/2016","1.676","1.676","1.676","1.676","40.96%"
"09/01/2016","1.189","1.189","1.189","1.189","3.39%"
"08/01/2016","1.150","1.150","1.150","1.150","-1.54%"
"07/01/2016","1.168","1.168","1.168","1.168","-8.25%"
"06/01/2016","1.273","1.273","1.273","1.273","-6.94%"
"05/01/2016","1.368","1.368","1.368","1.368","-9.04%"
"04/01/2016","1.504","1.504","1.504","1.504","22.68%"
"03/01/2016","1.226","1.226","1.226","1.226","-12.86%"
